CompanyName,Job Title,Job Source,Cleaned Primary Tech Stack,Primary Tech Stack,Secondary Tech Stacks,Phase,Applied At,Lead Created At
Vibe.co,Machine Learning Infra Staff Engineer,Linkup,Python,Python,ML,Interview,7/15/2024 12:34,7/16/2024 6:49
sparkmeter,Senior Front-end Developer - React,Workable,Node.js,React,,Interview,6/13/2024 12:05,7/15/2024 17:50
kustomer,Full Stack Engineer,Linkup,Node.js,JavaScript,Node.js,Interview,7/3/2024 13:02,7/15/2024 16:09
close,"Senior/Staff Software Engineer, Close",remoteco,Python,Python,Kafka,Interview,7/3/2024 7:47,7/15/2024 16:04
Otomatika,Python Automation Developer,Direct Web,Python,Python,RPA,Interview,6/27/2024 5:20,7/15/2024 15:30
miniextensions,Junior Software Engineer,Direct Website,Node.js,React,Next.js,Test Project,7/9/2024 15:19,7/15/2024 15:02
TONIC.AI,Senior Software Engineer,Company's Website,.NET,C#,React and .NET,Interview,6/27/2024 10:36,7/15/2024 14:43
prepaid2coin llc,Backend Engineer,Indeed,Node.js,Node.js,Python,Interview,7/8/2024 14:03,7/15/2024 14:36
CreateBase.AI,Fullstack Engineer,LinkedIn,Python,Python,React,Interview,6/25/2024 14:59,7/15/2024 14:16
red canary,Software Engineer Ruby/Rails,startup,Ruby,Ruby on Rails,Ruby,Not Hired,7/15/2024 14:09,7/15/2024 14:13
Lyric - Clarity in motion,Senior Software Engineer.,LinkedIn,.NET,.NET,C#,Interview,6/27/2024 13:40,7/15/2024 13:43
jungle scout,Software Engineer,Startup Jobs,Python,Python,React,Interview,7/9/2024 17:35,7/15/2024 13:39
aqua finance,Senior React Developer,Simplify,Node.js,React,Azure,Interview,7/5/2024 12:43,7/15/2024 12:41
startuptap,Founding Software Engineer - remote,LinkedIn,Ruby,Ruby on Rails,React,Not Hired,7/9/2024 8:16,7/15/2024 12:10
goat group,Software Engineer II,builtin,Ruby,Ruby on Rails,Backend Engineer,Not Hired,6/24/2024 8:26,7/15/2024 11:54
mcgraw hill,Lead Software Engineer - AI,Web,Python,Python,Node.js,Interview,7/9/2024 12:46,7/15/2024 11:48
ritual,"Senior Full-Stack Software Engineer, Ritual",Otta,Ruby,Ruby,React,Not Hired,7/5/2024 11:00,7/15/2024 11:36
asics digital,"API Architect, Team Lead",Indeed,Node.js,MERN,React,Interview,5/9/2024 5:31,7/15/2024 11:00
PennyWorks,Python Developer,LinkedIn,Python,Python,AWS,Interview,7/15/2024 10:01,7/15/2024 10:14
Orum,Senior Software Engineer,Direct Web,Node.js,JavaScript/TypeScript,AWS and SQL,Interview,7/5/2024 7:55,7/15/2024 9:46
cb insights,"Software Engineer, CB Insights",Otta,Python,Python,Node.js,Interview,7/9/2024 9:25,7/15/2024 9:37
AminoChain,"Staff Backend Engineer, Distributed Systems",Workable,Node.js,Node.js,Solidity,Interview,7/4/2024 13:40,7/15/2024 9:23
braingu,"Senior Software Engineer (Raleigh, NC)",Direct Web,Python,Python,Django,Interview,6/12/2024 8:14,7/15/2024 9:11
engagedmd,Senior Software Engineer,Direct Web,Node.js,Node.js,"React, TypeScript, AWS, and SQL",Interview,6/28/2024 10:26,7/15/2024 8:16
tribalscale,Full-Stack Engineer,Built in ,Node.js,MERN,JavaScript,Interview,7/10/2024 7:48,7/15/2024 8:13
AVB,React Engineer,Direct Website,Node.js,React,JavaScript,Interview,7/15/2024 7:25,7/15/2024 7:30
mission box solutions,Sr. Software Engineer,Wellfound,Python,Python,Django,Not Hired,7/11/2024 10:24,7/15/2024 7:12
objectwin technology,Sr. Full stack developer,LinkedIn Chat,Node.js,Node.js,JavaScript,Not Hired,7/15/2024 6:58,7/15/2024 7:00
confidential,Software Developer / Lead Engineer,Simplyhired,.NET,.NET,JavaScript,Interview,7/8/2024 3:49,7/15/2024 6:43
muck rack,"Senior Full Stack Engineer, Search",Company's Website,Python,Python,Django,Interview,7/8/2024 6:15,7/15/2024 5:19
Nebraska Furniture Mart,programmer/analyst iii,Simplyhired,.NET,.NET,"Salesforce, .NET, DevOps, and JavaScript",Interview,7/4/2024 13:24,7/15/2024 4:20
parachute health,Product Engineer,ZipRecruiter,Ruby,Ruby on Rails,Python,Interview,7/5/2024 17:20,7/12/2024 17:19
